主事件标题,事件标题,时间,地点,涉事方,关键动作,总推文数,链接1,链接2,链接3,链接4,链接5,链接6,链接7,链接8,链接9,链接10,链接11,链接12,链接13,链接14,链接15,链接16,链接17,链接18,链接19,链接20,链接21,链接22,链接23,链接24,链接25,链接26,链接27,链接28,链接29,链接30,链接31,链接32,链接33,链接34,链接35,链接36,链接37,链接38,链接39,链接40,链接41,链接42,链接43,链接44,链接45,链接46,链接47,链接48,链接49,链接50,链接51,链接52,链接53,链接54,链接55,链接56,链接57,链接58,链接59,链接60,链接61,链接62,链接63,链接64,链接65,链接66,链接67,链接68,链接69,链接70,链接71,链接72,链接73,链接74,链接75,链接76,链接77,链接78,链接79,链接80,链接81,链接82,链接83,链接84,链接85,链接86,链接87,链接88,链接89,链接90,链接91,链接92,链接93,链接94,链接95,链接96,链接97,链接98,链接99,链接100,链接101,链接102,链接103,链接104,链接105,链接106,链接107,链接108,链接109,链接110,链接111,链接112,链接113,链接114,链接115,链接116,链接117,链接118,链接119,链接120,链接121,链接122,链接123,链接124,链接125,链接126,链接127,链接128,链接129,链接130,链接131,链接132,链接133,链接134,链接135,链接136,链接137,链接138,链接139,链接140,链接141,链接142,链接143,链接144,链接145,链接146,链接147,链接148,链接149,链接150,链接151,链接152,链接153,链接154,链接155,链接156,链接157,链接158,链接159,链接160,链接161,链接162,链接163,链接164,链接165,链接166,链接167,链接168,链接169,链接170,链接171,链接172,链接173,链接174,链接175,链接176,链接177,链接178,链接179,链接180,链接181,链接182,链接183,链接184,链接185,链接186,链接187,链接188,链接189,链接190,链接191,链接192,链接193,链接194,链接195,链接196,链接197,链接198,链接199,链接200,链接201,链接202,链接203,链接204,链接205,链接206,链接207,链接208,链接209,链接210,链接211,链接212,链接213,链接214,链接215,链接216,链接217,链接218,链接219,链接220,链接221,链接222,链接223,链接224,链接225,链接226,链接227,链接228,链接229,链接230,链接231,链接232,链接233,链接234,链接235,链接236,链接237,链接238,链接239,链接240,链接241,链接242,链接243,链接244,链接245,链接246,链接247,链接248,链接249,链接250,链接251,链接252,链接253,链接254,链接255,链接256,链接257,链接258,链接259,链接260,链接261,链接262,链接263,链接264,链接265,链接266,链接267,链接268,链接269,链接270,链接271,链接272,链接273,链接274,链接275,链接276,链接277,链接278,链接279,链接280,链接281,链接282
菲律宾民众就南海问题表达不满并呼吁捍卫主权,菲律宾民众指责中国海警在南海的“海盗”行为,2025/5/24,南海,菲律宾民众、中国海警,菲律宾民众通过社交媒体指责中国海警在南海的行为如同“海盗”,3,"""https://x.com/MinhDr18/status/1926222224140165598/photo/1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国在南海进行大规模军事部署和演习并引发美国警告,中国 在 南中国海 占领岛屿并建设军事基地,2025/5/24,南中国海,中国、越南、菲律宾,中国非法占领越南和菲律宾领土内的无人岛屿、环礁和浅滩，并在其上建设军事基地,3,"""https://x.com/Michael71T/status/1925827475554103642/video/1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国海警与菲律宾船只在西菲律宾海发生水炮袭击和碰撞事件并引发多方谴责,中国与菲律宾在南海就船只对峙事件相互指责,2025/5/24,南海,中国、菲律宾,中国与菲律宾就两国船只在南海的对峙事件相互指责,2,"""https://interaksyon.philstar.com/politics-issues/2025/05/23/296780/china-and-philippines-trade-blame-over-south-china-sea-confrontation/""","""https://zh.pairsonnalites.org/2025/05/manila-beijing-trade-barbs-over-latest.html""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菲律宾民众就南海问题表达不满并呼吁捍卫主权,菲律宾民众质疑Akbayan党在西菲律宾海问题上偏袒美国,2025/5/25,西菲律宾海,菲律宾民众、Akbayan党、美国,菲律宾民众质疑Akbayan党在西菲律宾海问题上是否偏袒美国,2,"""https://twitter.com/yogawithben/status/1926244133351407690"";""https://twitter.com/arrakeenfool/status/1926105192027566326""","""https://twitter.com/arrakeenfool/status/1926105192027566326""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菲律宾总统马科斯在东盟峰会上强调南海主权并呼吁加速通过南海行为准则,菲律宾总统马科斯在东盟峰会上重申菲律宾致力于和平解决南海争端,2025/5/26,马来西亚吉隆坡、南海,菲律宾总统马科斯、东盟,菲律宾总统马科斯在第46届东盟峰会上重申菲律宾致力于和平解决南海争端,3,"""https://tinyurl.com/32pa8a4a"";""https://x.com/PhilippineStar/status/1926794160071213155/photo/1""","""http://youtu.be/bByIQTj_tQE"";""http://youtu.be/erWdNm9_E_c"";""http://youtu.be/kXsMHiHh4ew"";""http://youtu.be/n0yuhOsSJJI"";""http://youtu.be/59LC08qU6Ec"";""https://www.youtube.com/watch?v=bByIQTj_tQE&feature=youtu.be"";""https://x.com/News5PH/status/1927375011934773302/photo/1""","""https://www.manilatimes.net/2025/05/28/news/scs-code-of-conduct-asean-response-to-us-tariffs-key-summit-takeaways-as-marcos-returns-to-ph/2122121""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菲律宾民间团体在西菲律宾海举行“Atin Ito”和平与团结音乐会并引发中国海警关注,Kiko Aquino Dee 参与“Atin Ito”民间任务并强调对西菲律宾海仲裁裁决的尊重,2025/5/26,西菲律宾海,Kiko Aquino Dee、Atin Ito民间任务,Kiko Aquino Dee 参与“Atin Ito”民间任务，并表示该任务是对2016年西菲律宾海仲裁裁决胜利的尊重,18,"""https://x.com/ABSCBNNews/status/1926901912802144655/video/1""","""https://x.com/ABSCBNNews/status/1927240883612569864/photo/1""","""https://x.com/JervisManahan/status/1927242112216469580/video/1"";""https://x.com/JervisManahan/status/1927239711413735882/video/1""","""https://x.com/ABSCBNNews/status/1927238887954350300/photo/1""","""https://x.com/ABSCBNNews/status/1927241159132274882/video/1""","""https://x.com/ABSCBNNews/status/1927242672315457912/video/1"";""https://x.com/ABSCBNNews/status/1927241159132274882/video/1""","""https://tinyurl.com/yc4bwkcy"";""https://x.com/nowyouknowph/status/1927640989109195068/photo/1""","""https://x.com/_GioRobles/status/1927747667242676634/video/1""","""https://twitter.com/inquirerdotnet/status/1927535691396723167"";""https://x.com/inquirerdotnet/status/1927535691396723167/video/1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菲律宾民间团体在西菲律宾海举行“Atin Ito”和平与团结音乐会并引发中国海警关注,菲律宾民间团体在西菲律宾海举行“Atin Ito”和平与团结音乐会,2025/5/26,西菲律宾海,菲律宾民间团体,菲律宾民间团体乘坐M/V Kapitan Felix Oca船只在西菲律宾海举行“Atin Ito”和平与团结音乐会,7,"""https://x.com/TeamUSAnchors/status/1926752931241472286/video/1"";""https://x.com/TeamUSAnchors/status/1926753313573294553/video/1""","""https://x.com/ABSCBNNews/status/1927240883612569864/photo/1""","""https://twitter.com/TeamUSAnchors/status/1926753313573294553"";""https://x.com/TeamUSAnchors/status/1926753313573294553/video/1""","""https://twitter.com/ABSCBNNews/status/1927240883612569864"";""https://x.com/ABSCBNNews/status/1927240883612569864/photo/1""","""https://x.com/News5PH/status/1927616401948164356/photo/1""","""https://x.com/inquirerdotnet/status/1927944340502106559/video/1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菲律宾民众就南海问题表达不满并呼吁捍卫主权,菲律宾官员Jonathan Malaya号召民众通过“Takbo Para sa West Philippine Sea 2025”活动捍卫西菲律宾海主权,2025/5/26,西菲律宾海（南海）,ADG Jonathan Malaya、菲律宾民众,ADG Jonathan Malaya号召民众通过“Takbo Para sa West Philippine Sea 2025”活动捍卫西菲律宾海主权,6,"""https://x.com/PIADesk/status/1926933832911159315/photo/1""","""https://x.com/PIADesk/status/1926948931868487904/photo/1""","""https://raceroster.com/events/2025/106372/takbo-para-sa-west-philippine-sea-2025"";""https://x.com/PIADesk/status/1926971241530863850/photo/1""","""https://www.gmanetwork.com/news/topstories/metro/947390/fun-run-for-west-ph-sea-set-for-july-27-at-quirino-grandstand/story/""","""https://tnt.abante.com.ph/2025/05/27/fun-run-para-sa-wps-kasado-na-sa-hulyo/news/""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菲律宾民众就南海问题表达不满并呼吁捍卫主权,社交媒体用户批评中国在南海骚扰和攻击沿岸国家，并提及美菲海岸警卫队演习,2025/5/26,南海,社交媒体用户、中国、美国、菲律宾,社交媒体用户批评中国在南海骚扰和攻击沿岸国家，并将其与美菲首次海岸警卫队演习联系起来,2,"""https://x.com/MehdiRazav/status/1926957953556332555/video/1""","""https://x.com/Ahmedha49686670/status/1927695889935528331/photo/1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菲律宾民间团体在西菲律宾海举行“Atin Ito”和平与团结音乐会并引发中国海警关注,菲律宾“Atin Ito”联盟船只驶向南海Pag-asa岛,2025/5/26,南海（西菲律宾海）,菲律宾“Atin Ito”联盟、M/V Kapitan Felix Oca,菲律宾“Atin Ito”联盟的M/V Kapitan Felix Oca船只驶向南海Pag-asa岛执行第三次民间任务,16,"""https://x.com/NCorralesINQ/status/1926923142452150679/photo/1"";""https://x.com/NCorralesINQ/status/1926863330162962614/photo/1""","""https://x.com/NCorralesINQ/status/1926858127011373198/photo/1""","""https://x.com/NCorralesINQ/status/1926860113249194081/photo/1"";""https://x.com/NCorralesINQ/status/1926859075511304654/photo/1""","""https://x.com/ABSCBNNews/status/1926901912802144655/video/1""","""https://x.com/inquirerdotnet/status/1926924014540169222/photo/1""","""https://x.com/gmanews/status/1926855017190866970/photo/1""","""https://x.com/PTVph/status/1926932699970691134/photo/1""","""https://www.philstar.com/headlines/2025/05/25/2445706/atin-ito-launches-third-civilian-mission-west-philippine-sea""","""https://x.com/ABSCBNNews/status/1926837732233355469/video/1""","""https://www.youtube.com/watch?v=32slqmeIBo0&feature=youtu.be""","""https://x.com/ABSCBNNews/status/1927183266555015413/photo/1""","""https://x.com/inquirerdotnet/status/1927252735092560167/video/1""","""https://x.com/PTVph/status/1927144117189886042/video/1""","""https://x.com/inquirerdotnet/status/1927510938430693480/video/1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
美国海军在南海进行军事活动和训练,美国海军在南海进行飞行甲板作业,2025/5/26,南海,美国海军,美国海军尼米兹号航空母舰在南海进行飞行甲板作业,29,"""https://x.com/USNavy/status/1927001940422005192/video/1""","""https://news.usni.org/2025/05/26/chinese-aircraft-carrier-operating-near-senkakus-uss-nimitz-back-in-the-south-china-sea""","""https://x.com/vcdgf555/status/1927215713145532514/photo/1""","""https://dvidshub.net/r/uw5gq2"";""https://x.com/USNavy/status/1927469981383495875/photo/1""","""https://x.com/USPacificFleet/status/1927858351481782685/photo/1""","""https://x.com/USNavy/status/1928098075161071902/photo/1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菲律宾民间团体在西菲律宾海举行“Atin Ito”和平与团结音乐会并引发中国海警关注,菲律宾海岸警卫队在南海部署船只以确保“Atin Ito”音乐会安全,2025/5/26,南海（西菲律宾海）,菲律宾海岸警卫队、“Atin Ito”音乐会组织者,菲律宾海岸警卫队部署两艘船只以确保在南海举行的“Atin Ito”音乐会的安全,17,"""https://www.facebook.com/net25news/videos/1406266790515636""","""https://tinyurl.com/ASPNYT052625"";""https://tinyurl.com/ASPNFB052625"";""https://x.com/NET25TV/status/1926793253011034361/photo/1""","""https://x.com/JervisManahan/status/1926992768385036625/video/1"";""https://x.com/JervisManahan/status/1926951901381181636/video/1""","""https://www.gmanetwork.com/news/lifestyle/content/947403/ebe-dancel-noel-cabangon-to-perform-in-wps-concert-for-peace-solidarity/story/""","""https://x.com/ABSCBNNews/status/1926919094114083128/photo/1""","""https://x.com/ABSCBNNews/status/1926994147153498558/video/1"";""https://x.com/JervisManahan/status/1926951901381181636/video/1""","""https://x.com/ABSCBNNews/status/1926857638349771035/photo/1"";""https://x.com/ABSCBNNews/status/1926853643040436644/photo/1""","""https://x.com/ABSCBNNews/status/1927013571260449143/video/1"";""https://x.com/ABSCBNNews/status/1926994147153498558/video/1""",https://twitter.com/dzrhnews/statuses/1926717073482211718,https://twitter.com/dzbb/statuses/1926796753317060679,https://twitter.com/dzrhnews/statuses/1926992313638666532,"""https://x.com/News5PH/status/1926795577775284632/video/1""","""https://x.com/News5PH/status/1926804445003714998/photo/1""","""https://www.bworldonline.com/the-nation/2025/05/26/674878/philippines-says-china-likely-wont-harass-civilian-convoy-to-thitu/""","""https://twitter.com/PTVph/status/1927143158825066564""","""https://x.com/JervisManahan/status/1927586530106704075/video/1"";""https://x.com/JervisManahan/status/1927582149953163591/video/1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菲律宾总统马科斯在东盟峰会上强调南海主权并呼吁加速通过南海行为准则,菲律宾司法部官员强调南海行为准则不得凌驾于《联合国海洋法公约》之上,2025/5/26,南海,菲律宾司法部官员,菲律宾司法部官员强调，任何南海行为准则都不得凌驾于《联合国海洋法公约》之上,2,"""https://www.abs-cbn.com/news/nation/2025/5/22/south-china-sea-code-of-conduct-must-not-supersede-unclos-doj-exec-1354"";""https://x.com/ANCALERTS/status/1926956498485117154/photo/1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菲律宾民间团体在西菲律宾海举行“Atin Ito”和平与团结音乐会并引发中国海警关注,菲律宾武装部队西部司令部和北部司令部为“Atin Ito”民间任务在西菲律宾海提供支持,2025/5/26,西菲律宾海（南海）,菲律宾武装部队西部司令部、菲律宾武装部队北部司令部、Atin Ito民间任务,菲律宾武装部队西部司令部和北部司令部处于戒备状态，随时准备为在西菲律宾海执行任务的“Atin Ito”民间任务提供帮助,2,"""https://dzrh.com.ph/post/afp-ready-to-support-atinito-concert-in-the-west-philippine-sea"";""https://x.com/dzrhnews/status/1926883046164205677/photo/1""",https://twitter.com/dzbb/statuses/1927225338615976363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国海警与菲律宾船只在西菲律宾海发生水炮袭击和碰撞事件并引发多方谴责,菲律宾渔业和水产资源局团队与中国海警在南海发生水炮事件,2025/5/26,南海,菲律宾渔业和水产资源局 (BFAR) 团队、中国海警,中国海警对菲律宾渔业和水产资源局团队进行水炮攻击，但该团队仍完成了海洋科学研究任务,2,"""https://smninewschannel.com/water-cannon-incident-sa-barko-ng-bfar-walang-nasaktan/""","""https://tinyurl.com/bdd7zpt7"";""https://www.inquirer.net/"";""https://x.com/nowyouknowph/status/1927188004470215035/photo/1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菲律宾总统马科斯在东盟峰会上强调南海主权并呼吁加速通过南海行为准则,菲律宾总统马科斯呼吁加速通过南海行为准则,2025/5/26,南海,菲律宾总统马科斯,菲律宾总统马科斯强调加速通过具有法律约束力的南海行为准则的紧迫性，以维护海上权利、促进稳定并防止海上误判,17,https://twitter.com/alexisbromero/statuses/1926822326063993140,"""https://x.com/PilipinasToday_/status/1926932898143257072/photo/1""","""https://www.gmanetwork.com/news/topstories/nation/947335/marcos-accelerate-adoption-of-scs-code-of-conduct-to-prevent-miscalculation-at-sea/story/""","""https://x.com/inquirerdotnet/status/1926823610057904531/photo/1"";""https://x.com/inquirerdotnet/status/1926823716672987556/photo/1""",https://twitter.com/ABSCBNNews/statuses/1926821654140723460,"""https://www.abs-cbn.com/news/nation/2025/5/25/marcos-jr-now-in-kuala-lumpur-for-asean-summit-1849"";""https://x.com/TVPatrol/status/1926992991417225314/video/1""","""https://www.facebook.com/dzrhnews/videos/699419726170173/"";""https://x.com/dzrhnews/status/1926884151715631309/photo/1""","""https://www.newswatchplus.ph/news/2025/5/26/marcos-asean-south-china-sea-us-tariffs.html""",https://twitter.com/PhilippineStar/statuses/1926822453826793737,"""https://www.philstar.com/headlines/2025/05/26/2445956/first-day-asean-summit-marcos-presses-leaders-south-china-sea-code""",https://twitter.com/PTVph/statuses/1926830321959305219,https://twitter.com/News5PH/statuses/1926839394356380094,"""https://manilastandard.net/news/314594815/marcos-to-asean-hasten-scs-code.html"";""https://x.com/mnlstandardph/status/1927148840865481187/photo/1""","""https://www.pna.gov.ph/articles/1250905""","""https://dzrh.com.ph/post/pbbm-calls-for-legally-binding-code-of-conduct-in-scs-in-46th-asean-summit-plenary""","""https://x.com/News5PH/status/1927121315330220473/video/1""","""https://www.philstar.com/headlines/2025/05/27/2446056/expedite-adoption-south-china-sea-code-conduct""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国海警与菲律宾船只在西菲律宾海发生水炮袭击和碰撞事件并引发多方谴责,中国海警船与菲律宾海岸警卫队船只在西菲律宾海发生碰撞,2025/5/26,西菲律宾海,中国海警、菲律宾海岸警卫队,中国海警船在西菲律宾海与菲律宾海岸警卫队船只发生侧向擦碰和碰撞,2,"""https://x.com/SteveAn71083739/status/1926547804308074575/video/1""","""https://x.com/News5PH/status/1927685029972561935/video/1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国海警与菲律宾船只在西菲律宾海发生水炮袭击和碰撞事件并引发多方谴责,菲律宾谴责中国在南海对Sandy Cay的主权主张,2025/5/26,南海（西菲律宾海）,菲律宾、中国,菲律宾谴责中国对Sandy Cay的主权主张，并重申其对该区域的领土主权,2,"""https://twitter.com/globaltimesnews/status/1925862395987071283""","""https://twitter.com/MediaUnlock/status/1925932842111967291""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国海警与菲律宾船只在西菲律宾海发生水炮袭击和碰撞事件并引发多方谴责,中国与越南、菲律宾、台湾在南海发生海岸警卫队冲突,2025/5/26,南海,中国、越南、菲律宾、台湾,中国海岸警卫队船只与越南、菲律宾、台湾等亚洲国家在南海发生冲突,3,"""https://x.com/NewsHour/status/1926751835085275447/video/1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
